"Country","Region"
"USA","US and Canada"
"Denmark","Europe and Central Asia"
"Finland","Europe and Central Asia"
"Belgium","Europe and Central Asia"
"Canada","US and Canada"
"Ireland","Europe and Central Asia"
"Germany","Europe and Central Asia"
"United Kingdom","Europe and Central Asia"
"Jordan","Middle East and North Africa"
"Philippines","East and Southeast Asia"
"Botswana","Sub-Saharan Africa"
"Rwanda","Sub-Saharan Africa"
"Bulgaria","Europe and Central Asia"
"Norway","Europe and Central Asia"
"Afghanistan","East and Southeast Asia"
"Iraq","Middle East and North Africa"
"Colombia","Latin America and the Caribbean"
"France","Europe and Central Asia"
"Turkey","Middle East and North Africa"
"Somalia","Middle East and North Africa"
"Italy","Europe and Central Asia"
"India","East and Southeast Asia"
"Australia","Oceania"
"Brazil","Latin America and the Caribbean"
"Malaysia","East and Southeast Asia"
"Mexico","Latin America and the Caribbean"
"Myanmar","East and Southeast Asia"
"Netherlands","Europe and Central Asia"
"Peru","Latin America and the Caribbean"
"Poland","Europe and Central Asia"
"Romania","Europe and Central Asia"
"Russian Federation","Europe and Central Asia"
"Saudi Arabia","Middle East and North Africa"
"Pakistan","East and Southeast Asia"
"South Africa","Sub-Saharan Africa"
"Zambia","Sub-Saharan Africa"
"United Arab Emirates","Middle East and North Africa"
"Tunisia","Middle East and North Africa"
"Uganda","Sub-Saharan Africa"
"Switzerland","Europe and Central Asia"
"New Zealand","Oceania"
"Nigeria","Sub-Saharan Africa"
"Qatar","Middle East and North Africa"
"Palestine","Middle East and North Africa"
"Senegal","Sub-Saharan Africa"
"Singapore","East and Southeast Asia"
"Egypt","Middle East and North Africa"
"Liechtenstein","Europe and Central Asia"
"Namibia","Sub-Saharan Africa"
"Iceland","Europe and Central Asia"
"Ghana","Sub-Saharan Africa"
"Guatemala","Latin America and the Caribbean"
"Argentina","Latin America and the Caribbean"
"Kenya","Sub-Saharan Africa"
"Thailand","East and Southeast Asia"
"Paraguay","Latin America and the Caribbean"
"Bangladesh","East and Southeast Asia"
"China","East and Southeast Asia"
"Ethiopia","Sub-Saharan Africa"
"Kosovo","Europe and Central Asia"
"Uruguay","Latin America and the Caribbean"
"Spain","Europe and Central Asia"
"Chile","Latin America and the Caribbean"
"Tanzania","Sub-Saharan Africa"
"Japan","East and Southeast Asia"
"Morocco","Middle East and North Africa"
"Israel","Middle East and North Africa"
"Burundi","Sub-Saharan Africa"
"Congo, the Democratic Republic of the","Sub-Saharan Africa"
"Cambodia","East and Southeast Asia"
"Niger","Sub-Saharan Africa"
"Cambodia","East and Southeast Asia"
"Cameroon","Sub-Saharan Africa"
"Burkina Faso","Sub-Saharan Africa"
"Guinea","Sub-Saharan Africa"
"Austria","Europe and Central Asia"
"Sri Lanka","East and Southeast Asia"
"Ecuador","Latin America and the Caribbean"
"Zimbabwe","Sub-Saharan Africa"
"Malawi","Sub-Saharan Africa"
"Sudan","Sub-Saharan Africa"
"Uzbekistan","Europe and Central Asia"
"Angola","Sub-Saharan Africa"
"Mozambique","Sub-Saharan Africa"
"Nepal","East and Southeast Asia"
"Benin","Sub-Saharan Africa"
"Korea, Democratic People's Republic of","East and Southeast Asia"
"Korea, Republic of","East and Southeast Asia"
"Ukraine","Europe and Central Asia"
"Cuba","Latin America and the Caribbean"
"Mauritius","Sub-Saharan Africa"
"South Sudan","Sub-Saharan Africa"
"Sweden","Europe and Central Asia"
"Czech Republic","Europe and Central Asia"
"Fiji","Oceania"
"Nicaragua","Latin America and the Caribbean"
"Bolivia","Latin America and the Caribbean"
"Lithuania","Europe and Central Asia"
"Algeria","Middle East and North Africa"
"Greece","Europe and Central Asia"
"Haiti","Latin America and the Caribbean"
"Lebanon","Middle East and North Africa"
"Indonesia","East and Southeast Asia"
"Solomon Islands","Oceania"
"Madagascar","Sub-Saharan Africa"
"Yemen","Middle East and North Africa"
"Oman","Middle East and North Africa"
"Bhutan","East and Southeast Asia"
"Mongolia","East and Southeast Asia"
"Timor-Leste","East and Southeast Asia"
"Vietnam","East and Southeast Asia"
"Portugal","Europe and Central Asia"
"Syrian Arab Republic","Middle East and North Africa"
"Chad","Sub-Saharan Africa"
"Samoa","Oceania"
"Luxembourg","Europe and Central Asia"
"Serbia","Europe and Central Asia"
"Panama","Latin America and the Caribbean"
"United States","US and Canada"
"Kyrgyzstan","Europe and Central Asia"
"Honduras","Latin America and the Caribbean"
"Hong Kong","East and Southeast Asia"
"Ireland {Republic}","Europe and Central Asia"
"Hungary","Europe and Central Asia"
"Albania","Europe and Central Asia"
"Andorra","Europe and Central Asia"
"Liberia","Sub-Saharan Africa"
"Congo {Democratic Rep}","Sub-Saharan Africa"
"Papua New Guinea","Oceania"
"Sierra Leone","Sub-Saharan Africa"
"Burma","East and Southeast Asia"
"Libya","Middle East and North Africa"
"Macedonia","Europe and Central Asia"
"Taiwan","East and Southeast Asia"
"Gabon","Sub-Saharan Africa"
"Iran","Middle East and North Africa"
"Kazakhstan","Europe and Central Asia"
"Estonia","Europe and Central Asia"
"Cyprus","Europe and Central Asia"
"Ivory Coast","Sub-Saharan Africa"
"Syria","Middle East and North Africa"
"Palestinian Territories","Middle East and North Africa"
"Belarus","Europe and Central Asia"
"Gambia","Sub-Saharan Africa"
"Swaziland","Sub-Saharan Africa"
"Kuwait","Middle East and North Africa"
"Lesotho","Sub-Saharan Africa"
"Costa Rica","Latin America and the Caribbean"
"Trinidad & Tobago","Latin America and the Caribbean"
"Moldova","Europe and Central Asia"
"Slovenia","Europe and Central Asia"
"Korea South","East and Southeast Asia"
"Armenia","Middle East and North Africa"
"Burkina","Sub-Saharan Africa"
"Venezuela","Latin America and the Caribbean"
